cust_id;model1;model2;boughtItemsTotal;itemOneTotal;itemTwoTotal;itemThreeTotal;Visits2014;itemOneTotal2014;itemTwoTotal2014;itemThreeTotal2014;Visits2013;itemOneTotal2013;itemTwoTotal2013;itemThreeTotal2013;boughtItem_03;boughtItem_02;boughtItem_01;date_lastVisit;daysSinceVisit;boughtItem;numVisitsL1M;numVisitsL3M;numVisitsL6M;numVisits_trendL3M;fractionItemOneL1M;fractionItemOneTwoThreeL1M;fractionItemOneL3M;fractionItemOneTwoThreeL3M;fractionItemOneL6M;fractionItemOneTwoThreeL6M;numItemOne_trendL3M
18;2;150;51;19;3;5;1;0;0;0;15;3;1;2;d;5;0;140411;9;1;1;1;5;0.25;0;0;0;0;0;0.2;0
19;37;19;28;15;6;3;2;1;1;0;14;10;3;1;1;1;2;140407;13;2;2;2;5;0.666666667;0.5;1;0.5;1;0.6;1;0.833333333
20;29;34;51;12;13;7;5;1;2;1;15;4;0;3;2;2;3;140405;15;3;1;4;6;2;0;1;0;0.75;0.333333333;0.833333333;0
21;1;812;56;20;8;6;5;0;1;0;18;5;2;2;str;4;0;140412;8;0;1;5;10;1;0;0;0;0;0.1;0.3;0
22;2;230;42;17;5;6;2;0;0;0;16;8;2;2;5;5;0;140126;84;0;0;1;5;0.25;0;0;0;0;0.4;0.4;0
23;9;97;80;20;12;10;7;1;0;3;25;5;2;2;0;0;1;140411;9;7;2;6;10;1.5;0.5;0.5;0.166666667;0.5;0.1;0.4;1.666666667
24;9;83;51;19;8;9;1;0;1;0;10;4;1;2;5;d;2;140411;9;2;1;1;1;0;0;1;0;1;0;1;0
25;0;999;158;8;20;21;2;0;0;0;8;0;1;1;6;d;0;140411;9;0;1;2;2;0;0;0;0;0;0;0;0
26;8;158;127;38;16;11;5;3;0;0;13;3;1;2;1;0;5;140404;16;5;1;4;8;1;0;0;0.5;0.5;0.625;0.75;0.8
27;2;452;98;24;15;8;3;0;0;0;14;4;0;2;4;d;d;140404;16;0;1;3;6;1;0;0;0;0;0.166666667;0.333333333;0
28;13;60;31;6;3;4;5;2;1;0;10;1;1;1;7;2;1;140321;30;1;1;4;7;1.333333333;1;1;0.25;0.5;0.285714286;0.428571429;0.875
29;2;369;31;4;8;4;3;0;0;1;12;3;4;1;7;5;3;140403;17;3;1;2;7;0.4;0;1;0;0.5;0.142857143;0.571428571;0
30;15;48;37;5;6;5;1;0;0;0;14;2;2;2;6;0;0;140410;10;7;1;1;2;1;0;0;0;0;0;0;0
31;1;699;83;3;9;11;6;0;1;0;13;1;2;2;5;7;str;140409;11;0;2;6;11;1.2;0;0;0;0.166666667;0.090909091;0.272727273;0
32;24;33;28;8;2;3;3;1;0;1;12;3;1;2;3;str;1;140410;10;0;1;3;4;3;1;1;0.333333333;0.666666667;0.25;0.5;1.333333333
33;12;141;48;15;2;4;5;2;0;1;17;5;1;3;1;4;d;140326;25;6;1;3;7;0.75;0;0;0.333333333;0.333333333;0.571428571;0.714285714;0.583333333
34;3;247;38;8;4;5;2;0;0;0;5;1;0;2;7;6;0;140408;12;0;2;2;2;0;0;0;0;0;0;0;0
35;5;205;30;3;4;5;1;0;1;0;14;1;1;3;5;0;2;140410;10;2;1;1;2;1;0;1;0;1;0;0.5;0
36;2;519;40;4;2;9;6;0;0;2;15;0;2;3;0;str;3;140326;25;0;1;5;9;1.25;0;1;0;0.4;0;0.222222222;0
37;6;97;21;4;3;1;2;0;0;0;13;2;1;0;0;0;d;140412;8;d;2;2;6;0.5;0;0;0;0;0;0.166666667;0
38;2;367;73;11;7;8;3;0;1;1;23;8;1;2;3;6;2;140316;35;0;0;3;9;0.5;0;0;0;0.666666667;0.111111111;0.444444444;0
39;6;102;26;10;2;1;2;0;0;0;14;4;1;1;1;0;0;140402;18;0;1;2;6;0.5;0;0;0;0;0.333333333;0.5;0
40;40;30;32;13;6;2;2;1;1;0;12;5;1;1;str;1;2;140326;25;0;1;2;6;0.5;0;1;0.5;1;0.5;0.666666667;1
41;8;103;58;11;7;6;1;1;0;0;16;3;2;2;1;5;1;140410;10;5;1;1;4;0.333333333;1;1;1;1;0.75;0.75;1.333333333
42;4;181;44;12;5;7;7;1;1;2;16;4;2;3;2;0;3;140405;15;0;2;6;12;1;0;0.5;0.166666667;0.5;0.083333333;0.5;2
43;3;178;63;10;7;9;7;0;4;1;21;4;2;4;2;2;3;140412;8;6;2;6;10;1.5;0;1;0;0.833333333;0;0.6;0
44;1;408;56;7;13;13;5;0;1;2;10;1;4;2;3;2;4;140329;22;4;1;6;10;1.5;0;0;0;0.5;0.1;0.6;0
45;7;44;83;18;12;5;2;0;1;0;15;5;0;0;k;2;0;140329;22;0;1;2;6;0.5;0;0;0;0.5;0.166666667;0.333333333;0
46;13;66;40;6;8;4;8;2;1;1;3;0;1;0;4;0;1;140409;11;2;2;7;11;1.75;0.5;0.5;0.285714286;0.571428571;0.181818182;0.454545455;1.571428571
47;2;241;29;7;6;1;2;0;0;0;14;1;3;1;0;0;6;140407;13;0;2;2;4;1;0;0;0;0;0.25;0.25;0
48;5;149;27;10;4;3;6;1;0;3;10;4;0;0;1;3;d;140329;22;1;1;5;11;0.833333333;0;0;0.2;0.6;0.181818182;0.454545455;1.1
49;14;60;33;7;5;6;6;2;2;2;18;5;1;3;2;1;3;140329;22;3;1;4;10;0.666666667;0;1;0.25;1;0.3;0.7;0.833333333
50;21;42;19;7;4;0;5;3;0;0;12;3;3;0;1;1;1;140405;15;0;1;4;7;1.333333333;1;1;0.75;0.75;0.428571429;0.571428571;1.75
51;3;166;33;7;4;3;6;3;1;0;15;3;2;3;6;1;1;140404;16;6;2;5;10;1;1;1;0.6;0.6;0.4;0.6;1.5
52;4;125;16;4;1;4;6;1;1;0;10;3;0;4;5;0;4;140329;22;0;1;5;9;1.25;0;0;0.2;0.4;0.222222222;0.444444444;0.9
53;6;104;19;6;2;2;5;3;1;0;6;1;1;0;1;2;0;140329;22;0;1;5;6;5;0;0;0.6;0.8;0.5;0.666666667;1.2
54;2;228;16;3;2;3;5;1;1;1;0;0;0;0;0;4;3;140329;22;0;1;4;6;2;0;1;0.25;0.5;0.166666667;0.5;1.5
55;2;272;19;5;3;2;3;0;0;0;14;4;3;2;0;d;4;140412;8;1;1;2;9;0.285714286;0;0;0;0;0.111111111;0.555555556;0
56;1;358;25;8;6;3;7;2;2;1;18;6;4;2;1;2;3;140402;18;5;1;5;12;0.714285714;0;1;0.4;1;0.25;0.666666667;1.6
57;19;40;29;5;8;3;5;2;0;1;17;3;6;2;str;1;4;140418;15;2;2;5;6;5;0.5;0.5;0.2;0.4;0.333333333;0.5;0.6
58;1;408;23;7;2;0;1;0;1;0;13;5;1;0;6;0;2;140407;26;3;1;1;2;1;0;1;0;1;0;0.5;0
59;3;227;50;14;12;3;6;3;1;0;24;7;4;1;0;2;1;140423;10;6;1;3;9;0.5;1;1;0.333333333;0.666666667;0.555555556;0.666666667;0.6
60;4;154;50;12;6;8;3;1;2;0;20;5;2;5;2;1;2;140420;13;0;1;3;7;0.75;0;1;0.333333333;1;0.285714286;0.714285714;1.166666667
61;2;298;23;8;3;0;4;1;0;0;10;3;2;0;4;6;d;140412;21;4;1;3;7;0.75;0;0;0;0;0.285714286;0.285714286;0
62;4;197;29;11;5;3;8;2;1;2;11;5;1;1;1;d;3;140420;13;d;2;6;8;3;0;0.5;0.333333333;0.666666667;0.25;0.625;1.333333333
63;0;737;43;10;8;3;7;2;1;1;8;1;0;0;2;3;0;140426;7;0;2;6;11;1.2;0;0.5;0.333333333;0.666666667;0.272727273;0.454545455;1.222222222
64;3;219;24;6;6;0;6;1;1;0;15;4;4;0;6;4;6;140420;13;0;1;6;8;3;0;0;0.166666667;0.333333333;0.125;0.25;1.333333333
65;0;548;35;5;4;6;3;0;1;0;14;3;1;3;5;2;0;140426;7;0;2;3;5;1.5;0;0.5;0;0.333333333;0.2;0.4;0
66;5;96;34;8;2;3;7;2;1;0;18;4;1;2;1;0;5;140412;21;0;2;5;12;0.714285714;0;0;0.4;0.4;0.333333333;0.5;1.2
67;0;446;28;5;4;5;2;1;0;1;13;3;0;3;d;1;3;140412;21;5;1;2;4;1;0;1;0.5;1;0.25;0.5;2
68;26;34;13;4;1;1;5;3;1;1;6;0;0;0;1;1;3;140412;21;3;1;5;7;2.5;0;1;0.6;1;0.428571429;0.714285714;1.4
69;1;389;16;3;2;0;5;2;1;0;3;0;0;0;1;2;d;140412;21;6;1;5;6;5;0;0;0.4;0.6;0.333333333;0.5;1.2
70;15;54;5;2;3;0;1;0;1;0;2;1;1;0;1;str;2;140419;14;4;1;1;1;0;0;1;0;1;0;1;0
71;1;485;17;3;1;3;7;2;0;1;10;1;1;2;1;5;6;140420;13;5;2;6;10;1.5;0;0;0.333333333;0.5;0.2;0.5;1.666666667
72;2;311;20;3;3;4;4;1;1;1;9;2;2;2;0;2;3;140418;15;0;1;4;4;0;0;1;0.25;0.75;0.25;0.75;1
73;2;292;31;7;2;2;5;3;0;0;18;4;1;2;1;1;1;140417;16;0;1;5;9;1.25;1;1;0.6;0.6;0.555555556;0.555555556;1.08
74;2;281;27;3;6;2;7;2;3;0;4;0;2;1;6;2;1;140418;15;0;1;5;10;1;1;1;0.4;0.8;0.2;0.7;2
75;5;176;14;4;4;2;4;1;2;0;10;3;2;2;4;2;1;140411;22;2;1;3;4;3;1;1;0.333333333;0.666666667;0.25;0.75;1.333333333
76;32;30;4;4;0;0;4;4;0;0;0;0;0;0;1;1;1;140404;29;1;1;3;5;1.5;1;1;1;1;0.8;0.8;1.25
77;6;102;14;4;4;1;4;1;2;0;5;1;0;1;2;1;2;140420;13;0;1;4;6;2;0;1;0.25;0.75;0.333333333;0.666666667;0.75
78;2;240;9;7;1;0;5;4;1;0;4;3;0;0;1;1;2;140418;15;0;1;4;8;1;0;1;0.75;1;0.875;1;0.857142857
79;6;98;12;4;2;0;6;3;1;0;6;1;1;0;4;str;1;140423;10;0;1;5;7;2.5;1;1;0.2;0.4;0.428571429;0.571428571;0.466666667
80;6;116;38;8;4;8;1;0;0;0;14;2;1;3;0;0;0;140412;21;0;1;1;5;0.25;0;0;0;0;0.2;0.2;0
81;5;161;62;10;14;5;4;0;2;0;10;0;2;0;str;2;5;140420;13;0;2;4;5;4;0;0.5;0;0.25;0;0.4;0
82;14;72;71;18;7;5;2;0;0;0;9;2;1;1;d;0;d;140423;10;1;2;2;5;0.666666667;0;0;0;0;0;0.2;0
83;2;369;34;6;6;5;1;0;0;0;9;1;3;0;4;0;5;140416;17;3;1;1;1;0;0;0;0;0;0;0;0
84;0;646;100;13;16;7;3;0;0;1;13;1;3;0;0;6;3;140421;12;0;2;3;3;0;0;0.5;0;0.333333333;0;0.333333333;0
85;6;89;83;20;20;6;2;0;0;0;11;3;2;1;0;0;0;140305;59;0;0;2;3;2;0;0;0;0;0;0;0
86;0;791;61;11;7;11;6;0;0;0;19;2;4;3;0;d;4;140426;7;6;1;3;10;0.428571429;0;0;0;0;0;0.2;0
87;55;15;29;15;7;3;3;1;2;0;14;10;3;1;1;2;2;140420;13;2;2;3;4;3;0;1;0.333333333;1;0.5;1;0.666666667
88;9;71;49;22;7;4;1;1;0;0;10;1;1;2;d;k;1;140419;14;4;2;2;5;0.666666667;0.5;0.5;0.5;0.5;0.2;0.2;2.5
89;28;33;25;6;6;0;5;2;0;0;17;3;5;0;1;1;d;140423;10;4;2;4;10;0.666666667;0.5;0.5;0.5;0.5;0.4;0.6;1.25
90;1;422;28;6;2;1;7;2;0;0;13;4;0;1;1;5;1;140424;9;0;2;6;13;0.857142857;0.5;0.5;0.333333333;0.333333333;0.230769231;0.230769231;1.444444444
91;3;263;29;5;6;2;6;2;1;0;15;1;4;1;0;1;4;140423;10;2;2;4;10;0.666666667;0.5;0.5;0.25;0.25;0.3;0.5;0.833333333
92;4;378;35;8;2;2;5;2;0;1;11;2;0;0;1;0;0;140418;15;0;1;4;11;0.571428571;0;0;0.25;0.5;0.181818182;0.272727273;1.375
93;3;243;35;9;1;0;3;1;0;0;5;1;1;0;str;k;1;140415;18;d;1;4;9;0.8;1;1;0.25;0.25;0.222222222;0.333333333;1.125
94;10;83;22;7;2;4;5;2;1;1;17;5;1;3;3;1;2;140412;21;1;1;4;8;1;0;1;0.25;0.75;0.375;0.75;0.666666667
95;29;27;26;8;5;1;5;3;1;0;7;1;1;0;1;1;1;140422;11;3;1;5;7;2.5;1;1;0.6;0.8;0.428571429;0.571428571;1.4
96;3;257;20;6;2;2;6;3;1;0;6;1;1;0;2;0;0;140420;13;0;1;5;7;2.5;0;0;0.4;0.6;0.428571429;0.571428571;0.933333333
97;4;140;38;7;10;5;5;1;1;0;7;4;0;0;1;0;2;140409;24;5;1;4;9;0.8;0;1;0.25;0.5;0.333333333;0.444444444;0.75
98;7;95;20;2;3;2;4;0;0;0;7;1;1;1;4;5;0;140423;10;6;2;4;4;0;0;0;0;0;0;0;0
99;4;153;72;8;9;2;6;0;2;0;11;3;2;0;0;2;0;140412;21;0;1;4;8;1;0;0;0;0.5;0.125;0.375;0
100;5;168;28;5;5;3;6;1;2;2;8;2;0;1;1;3;2;140422;11;0;2;6;6;0;0;1;0.166666667;0.833333333;0.166666667;0.833333333;1
101;1;518;55;9;9;7;5;0;0;1;17;0;3;4;0;3;5;140420;13;d;1;3;8;0.6;0;0;0;0.333333333;0;0.25;0
102;11;102;32;11;7;4;4;0;1;1;12;2;3;3;4;4;2;140423;10;2;2;4;5;4;0;0.5;0;0.5;0;0.6;0
103;8;54;47;11;9;11;1;1;0;0;16;1;3;3;3;0;1;140425;8;1;1;1;3;0.5;1;1;1;1;0.333333333;0.666666667;3
104;60;18;58;16;12;5;4;3;0;0;16;5;2;2;1;1;1;140329;35;4;0;3;8;0.6;0;0;1;1;0.75;0.875;1.333333333
105;9;51;39;12;7;2;2;0;1;0;14;4;4;1;6;4;2;140415;18;0;1;2;5;0.666666667;0;1;0;0.5;0.4;0.6;0
106;2;336;36;10;6;4;7;2;0;1;9;2;0;1;1;d;6;140329;35;3;0;5;10;1;0;0;0.2;0.4;0.2;0.4;1
107;1;522;35;7;4;2;6;0;0;1;17;1;3;0;d;4;3;140418;15;0;1;4;9;0.8;0;1;0;0.25;0;0.111111111;0
108;0;751;52;10;8;8;5;0;0;1;11;1;1;0;4;4;3;140409;24;0;1;4;5;4;0;1;0;0.25;0;0.2;0
109;5;117;45;13;7;3;4;1;1;1;15;4;2;0;0;2;3;140411;22;5;1;2;8;0.333333333;0;1;0;1;0.5;0.75;0
110;2;304;35;10;6;3;3;0;0;0;12;4;2;2;0;0;0;140426;7;0;2;3;6;1;0;0;0;0;0;0;0
111;1;464;53;14;9;5;7;1;1;0;14;0;2;4;str;5;6;140426;7;0;2;6;12;1;0;0;0;0.166666667;0.083333333;0.166666667;0
112;24;36;34;7;5;7;7;2;2;3;18;5;1;3;1;3;3;140420;13;6;1;4;10;0.666666667;0;1;0.25;1;0.2;0.7;1.25
113;4;191;51;15;9;1;7;1;1;0;13;3;2;1;7;2;1;140418;15;1;2;4;10;0.666666667;0.5;1;0.25;0.5;0.1;0.2;2.5
114;33;26;24;9;2;5;2;0;0;1;7;4;1;0;0;6;3;140418;15;2;1;2;2;0;0;1;0;0.5;0;0.5;0
115;10;96;31;5;7;4;2;1;0;0;14;1;4;2;2;4;1;140410;23;0;1;2;5;0.666666667;1;1;0.5;0.5;0.2;0.8;2.5
116;8;66;24;7;3;3;3;0;1;0;11;2;0;1;2;0;5;140418;15;3;1;3;5;1.5;0;0;0;0.333333333;0.2;0.4;0
117;5;142;53;8;6;10;8;1;2;1;17;2;0;6;d;2;1;140416;17;4;2;7;12;1.4;0.5;1;0.142857143;0.428571429;0.083333333;0.416666667;1.714285714
118;3;236;57;7;13;13;6;0;1;2;10;1;4;2;2;4;4;140420;13;0;1;5;10;1;0;0;0;0.4;0.1;0.5;0
119;2;342;61;13;7;2;8;0;1;0;20;2;2;1;d;2;d;140423;10;d;1;5;12;0.714285714;0;0;0;0.2;0;0.166666667;0
120;1;943;63;8;4;6;10;1;2;1;17;1;1;1;0;1;6;140427;6;0;2;8;11;2.666666667;0.5;0.5;0.125;0.25;0.090909091;0.363636364;1.375
121;8;85;41;6;9;4;9;2;2;1;3;0;1;0;0;1;2;140420;13;5;2;7;12;1.4;0.5;1;0.285714286;0.714285714;0.166666667;0.5;1.714285714
122;4;150;26;8;2;2;6;2;1;1;11;3;1;1;3;1;2;140426;7;4;1;4;8;1;0;1;0.25;0.75;0.375;0.625;0.666666667
123;3;240;27;6;4;1;7;1;4;1;10;3;0;0;0;3;2;140412;21;d;1;5;12;0.714285714;0;1;0;0.8;0.333333333;0.75;0
124;2;422;33;12;5;2;6;2;2;0;9;4;2;1;5;2;1;140413;20;6;1;5;6;5;1;1;0.4;0.6;0.333333333;0.666666667;1.2
125;13;62;19;11;1;0;3;3;0;0;16;8;1;0;1;1;1;140423;10;2;1;3;4;3;1;1;1;1;0.75;0.75;1.333333333
126;1;749;62;5;8;8;7;2;1;1;18;1;3;2;6;1;2;140416;17;0;1;5;11;0.833333333;0;1;0.4;0.6;0.181818182;0.636363636;2.2
127;13;98;32;14;5;2;6;2;1;0;11;4;3;1;d;5;2;140418;15;3;1;5;9;1.25;0;1;0.4;0.6;0.444444444;0.555555556;0.9
128;2;373;47;11;10;5;8;2;2;1;23;7;8;2;2;1;0;140412;21;7;1;6;12;1;0;0;0.166666667;0.5;0.25;0.666666667;0.666666667
129;3;250;33;9;6;3;3;0;1;0;14;4;2;2;5;2;str;140412;21;0;1;3;7;0.75;0;0;0;0.333333333;0.285714286;0.428571429;0
130;24;35;22;13;2;0;1;1;0;0;9;5;1;0;2;d;1;140418;15;1;1;1;4;0.333333333;1;1;1;1;0.5;0.75;2
131;14;69;52;12;13;8;6;1;2;2;15;4;0;3;2;3;3;140420;13;0;2;4;6;2;0;1;0;1;0.166666667;0.833333333;0
132;6;140;36;9;2;3;1;1;0;0;11;2;0;0;5;str;1;140418;15;d;1;1;1;0;1;1;1;1;1;1;1
133;7;64;73;18;12;7;2;0;0;0;13;6;2;1;1;5;4;140405;28;0;1;2;4;1;0;0;0;0;0.5;0.5;0
134;3;277;36;5;10;6;2;0;0;0;17;3;8;2;5;0;5;140412;21;5;1;1;4;0.333333333;0;0;0;0;0;0;0
135;1;629;14;1;3;2;4;0;0;1;10;1;3;1;str;6;5;140514;11;5;1;4;8;1;0;0;0;0;0.125;0.375;0
136;2;266;8;0;4;1;2;0;0;0;6;0;4;1;2;0;6;140512;13;3;2;2;2;0;0;0;0;0;0;0;0
137;25;39;6;2;1;1;2;0;0;1;4;2;1;0;1;d;3;140505;20;d;1;2;3;2;0;1;0;0.5;0.333333333;0.666666667;0
138;1;956;6;0;1;2;5;0;1;1;1;0;0;1;3;6;0;140509;16;0;2;5;6;5;0;0;0;0.2;0;0.333333333;0
139;7;109;7;2;1;2;2;0;1;1;5;2;0;1;1;2;3;140511;14;d;1;2;4;1;0;1;0;1;0.25;0.75;0
140;6;147;3;1;0;0;2;1;0;0;1;0;0;0;5;1;0;140509;16;2;1;2;2;0;0;0;0.5;0.5;0.5;0.5;1
141;23;40;66;19;15;7;4;4;0;0;16;5;2;1;1;1;1;140502;23;0;1;4;4;0;1;1;1;1;1;1;1
142;13;73;30;15;8;3;4;1;3;0;14;10;3;1;2;2;2;140503;22;2;1;4;4;0;0;1;0.25;1;0.25;1;1
143;3;234;72;19;7;5;3;1;0;0;9;2;1;1;0;d;1;140503;22;4;1;3;5;1.5;1;1;0.333333333;0.333333333;0.2;0.2;1.666666667
144;7;93;36;20;3;5;3;3;0;0;1;1;0;0;1;1;1;140517;8;0;2;2;4;1;1;1;1;1;1;1;1
145;6;139;75;25;12;0;2;1;0;0;19;6;4;0;d;str;1;140516;9;0;1;3;3;0;1;1;0.333333333;0.333333333;0.333333333;0.333333333;1
146;18;71;32;12;8;5;1;1;0;0;8;3;2;1;1;2;1;140514;11;3;1;1;1;0;1;1;1;1;1;1;1
147;31;27;37;18;10;4;3;3;0;0;11;6;3;1;1;1;1;140423;32;1;0;3;3;0;0;0;1;1;1;1;1
148;20;34;56;24;6;2;4;1;0;1;14;2;2;0;4;3;0;140426;29;2;1;4;6;2;0;0;0.25;0.5;0.333333333;0.5;0.75
149;5;122;70;30;13;6;6;3;2;0;16;3;3;4;1;2;4;140510;15;0;2;5;6;5;0;0.5;0.4;0.8;0.5;0.833333333;0.8
150;8;83;69;20;9;4;6;0;1;1;11;1;2;0;3;d;d;140511;14;d;1;3;8;0.6;0;0;0;0.333333333;0;0.25;0
151;4;148;178;73;20;13;6;2;2;0;17;7;1;0;1;0;2;140510;15;0;1;5;6;5;0;1;0.4;0.6;0.333333333;0.666666667;1.2
152;13;49;46;25;5;3;3;2;0;0;10;5;1;0;0;1;1;140510;15;0;1;3;3;0;1;1;0.666666667;0.666666667;0.666666667;0.666666667;1
153;1;999;34;1;8;3;10;0;1;3;18;1;6;0;2;0;5;140423;32;0;0;5;12;0.714285714;0;0;0;0.4;0;0.416666667;0
154;1;673;29;5;3;4;2;0;0;0;15;2;3;2;0;0;5;140426;29;d;1;2;3;2;0;0;0;0;0;0;0
155;3;288;44;11;8;4;5;3;0;0;10;4;1;0;5;4;1;140409;46;3;0;3;5;1.5;0;0;0.333333333;0.333333333;0.6;0.6;0.555555556
156;20;34;23;6;6;2;1;1;0;0;11;3;3;1;str;str;1;140512;13;7;1;1;1;0;1;1;1;1;1;1;1
157;1;644;44;8;7;2;7;2;1;0;20;3;5;1;1;0;5;140510;15;0;1;5;8;1.666666667;0;0;0.4;0.6;0.25;0.5;1.6
158;3;256;38;10;4;2;10;4;1;0;19;4;2;0;1;2;1;140510;15;0;2;4;13;0.444444444;0.5;1;0.5;0.75;0.384615385;0.461538462;1.3
159;3;277;56;12;9;9;8;2;2;2;14;2;2;3;2;k;2;140507;18;d;2;6;11;1.2;0;0.5;0.166666667;0.666666667;0.272727273;0.636363636;0.611111111
160;1;734;32;3;5;5;3;0;2;0;14;1;1;3;2;2;0;140508;17;0;1;3;3;0;0;0;0;0.666666667;0;0.666666667;0
161;14;52;33;14;5;3;7;2;1;1;11;4;3;1;5;2;3;140503;22;1;1;5;8;1.666666667;0;1;0.2;0.6;0.375;0.625;0.533333333
162;7;122;26;8;1;4;6;2;0;1;15;4;1;3;3;0;0;140420;35;2;0;3;8;0.6;0;0;0;0.333333333;0.25;0.625;0
163;1;756;64;8;4;6;11;1;2;1;17;1;1;1;1;6;0;140503;22;0;2;7;12;1.4;0;0;0.142857143;0.285714286;0.083333333;0.333333333;1.714285714
164;1;781;86;11;9;7;4;2;0;1;12;1;1;3;1;1;3;140513;12;5;2;5;5;0;0.5;1;0.4;0.6;0.4;0.6;1
165;9;73;22;5;6;3;8;2;3;1;7;0;2;2;3;5;2;140430;25;4;1;5;10;1;0;1;0.4;0.8;0.2;0.6;2
166;2;220;10;4;2;0;6;1;2;0;4;3;0;0;2;5;5;140507;18;0;1;2;8;0.333333333;0;0;0;0;0.375;0.625;0
167;7;136;11;5;2;1;4;1;0;0;7;4;2;1;str;4;d;140430;25;0;1;4;5;4;0;0;0;0;0.2;0.2;0
168;55;18;14;8;3;0;1;0;1;0;13;8;2;0;1;1;2;140516;9;3;1;1;1;0;0;1;0;1;0;1;0
169;11;48;19;7;2;3;6;4;1;0;13;3;1;3;1;1;1;140505;20;1;1;3;9;0.5;1;1;1;1;0.555555556;0.666666667;1.8
170;4;213;17;5;3;2;2;0;0;1;15;5;3;1;3;4;3;140505;20;0;1;2;2;0;0;1;0;0.5;0;0.5;0
171;2;380;17;6;2;2;2;0;0;0;15;6;2;2;0;0;6;140430;25;d;1;2;2;0;0;0;0;0;0;0;0
172;13;82;17;6;4;0;5;3;0;0;12;3;4;0;1;d;d;140515;10;0;2;5;7;2.5;0;0;0.6;0.6;0.428571429;0.428571429;1.4
173;3;261;17;6;0;1;7;4;0;0;8;2;0;0;4;1;0;140515;10;5;1;5;7;2.5;0;0;0.4;0.4;0.571428571;0.571428571;0.7
174;10;88;26;7;9;3;2;0;0;0;17;4;5;3;4;4;4;140511;14;1;2;2;2;0;0;0;0;0;0;0;0
175;6;112;25;11;6;0;8;5;2;0;16;6;4;0;1;1;1;140426;29;4;1;4;5;4;1;1;0.75;1;0.8;1;0.9375
