cust_id;pref;score
162;preferenceItemOneTwoThree;53.12
162;preferenceItemOne;31.25
163;preferenceItemOneTwoThree;26.09
163;preferenceItemOne;11.59
164;preferenceItemOneTwoThree;32.26
164;preferenceItemOne;11.83
165;preferenceItemOneTwoThree;55.56
165;preferenceItemOne;18.52
166;preferenceItemOneTwoThree;46.67
166;preferenceItemOne;26.67
167;preferenceItemOneTwoThree;66.67
167;preferenceItemOne;41.67
168;preferenceItemOneTwoThree;80.95
168;preferenceItemOne;52.38
169;preferenceItemOneTwoThree;59.09
169;preferenceItemOne;36.36
170;preferenceItemOneTwoThree;50
170;preferenceItemOne;25
171;preferenceItemOneTwoThree;47.62
171;preferenceItemOne;28.57
172;preferenceItemOneTwoThree;55
172;preferenceItemOne;30
173;preferenceItemOneTwoThree;31.82
173;preferenceItemOne;27.27
174;preferenceItemOneTwoThree;77.42
174;preferenceItemOne;32.26
175;preferenceItemOneTwoThree;65.62
175;preferenceItemOne;37.5
176;preferenceItemOneTwoThree;78.26
176;preferenceItemOne;39.13
177;preferenceItemOneTwoThree;44.3
177;preferenceItemOne;26.58
178;preferenceItemOneTwoThree;65.12
178;preferenceItemOne;48.84
179;preferenceItemOneTwoThree;80.39
179;preferenceItemOne;58.82
180;preferenceItemOneTwoThree;86.49
180;preferenceItemOne;35.14
181;preferenceItemOneTwoThree;55.81
181;preferenceItemOne;23.26
182;preferenceItemOneTwoThree;42.86
182;preferenceItemOne;35.71
183;preferenceItemOneTwoThree;47.62
183;preferenceItemOne;9.52
184;preferenceItemOneTwoThree;45.45
184;preferenceItemOne;18.18
185;preferenceItemOneTwoThree;50
185;preferenceItemOne;18.75
186;preferenceItemOneTwoThree;55
186;preferenceItemOne;25
187;preferenceItemOneTwoThree;42.11
187;preferenceItemOne;21.05
188;preferenceItemOneTwoThree;45
188;preferenceItemOne;20
189;preferenceItemOneTwoThree;62.5
189;preferenceItemOne;31.25
190;preferenceItemOneTwoThree;60
190;preferenceItemOne;50
191;preferenceItemOneTwoThree;34.48
191;preferenceItemOne;13.79
192;preferenceItemOneTwoThree;25
192;preferenceItemOne;5.56
193;preferenceItemOneTwoThree;100
193;preferenceItemOne;62.5
194;preferenceItemOneTwoThree;44.44
194;preferenceItemOne;25.93
195;preferenceItemOneTwoThree;55.56
195;preferenceItemOne;22.22
196;preferenceItemOneTwoThree;33.33
196;preferenceItemOne;13.33
197;preferenceItemOneTwoThree;51.61
197;preferenceItemOne;19.35
198;preferenceItemOneTwoThree;33.33
198;preferenceItemOne;11.11
199;preferenceItemOneTwoThree;44.74
199;preferenceItemOne;23.68
200;preferenceItemOneTwoThree;53.57
200;preferenceItemOne;25
201;preferenceItemOneTwoThree;53.85
201;preferenceItemOne;17.95
202;preferenceItemOneTwoThree;40.91
202;preferenceItemOne;27.27
203;preferenceItemOneTwoThree;48.28
203;preferenceItemOne;27.59
204;preferenceItemOneTwoThree;52
204;preferenceItemOne;24
205;preferenceItemOneTwoThree;48.78
205;preferenceItemOne;14.63
206;preferenceItemOneTwoThree;46.67
206;preferenceItemOne;16.67
207;preferenceItemOneTwoThree;64.71
207;preferenceItemOne;23.53
208;preferenceItemOneTwoThree;73.08
208;preferenceItemOne;34.62
209;preferenceItemOneTwoThree;75
209;preferenceItemOne;43.75
210;preferenceItemOneTwoThree;54.55
210;preferenceItemOne;18.18
211;preferenceItemOneTwoThree;37.84
211;preferenceItemOne;13.51
212;preferenceItemOneTwoThree;47.37
212;preferenceItemOne;10.53
213;preferenceItemOneTwoThree;53.12
213;preferenceItemOne;28.12
214;preferenceItemOneTwoThree;55.81
214;preferenceItemOne;23.26
215;preferenceItemOneTwoThree;86.49
215;preferenceItemOne;35.14
216;preferenceItemOneTwoThree;80.39
216;preferenceItemOne;58.82
217;preferenceItemOneTwoThree;65.12
217;preferenceItemOne;48.84
218;preferenceItemOneTwoThree;44.3
218;preferenceItemOne;26.58
219;preferenceItemOneTwoThree;71.05
219;preferenceItemOne;39.47
220;preferenceItemOneTwoThree;38.89
220;preferenceItemOne;13.89
221;preferenceItemOneTwoThree;53.12
221;preferenceItemOne;31.25
222;preferenceItemOneTwoThree;55.41
222;preferenceItemOne;27.03
223;preferenceItemOneTwoThree;57.14
223;preferenceItemOne;21.43
224;preferenceItemOneTwoThree;42.11
224;preferenceItemOne;10.53
225;preferenceItemOneTwoThree;66.67
225;preferenceItemOne;36.67
226;preferenceItemOneTwoThree;46.15
226;preferenceItemOne;23.08
227;preferenceItemOneTwoThree;48.39
227;preferenceItemOne;29.03
228;preferenceItemOneTwoThree;49.32
228;preferenceItemOne;24.66
229;preferenceItemOneTwoThree;47.22
229;preferenceItemOne;25
230;preferenceItemOneTwoThree;50
230;preferenceItemOne;21.88
231;preferenceItemOneTwoThree;58.62
231;preferenceItemOne;17.24
232;preferenceItemOneTwoThree;56.52
232;preferenceItemOne;21.74
233;preferenceItemOneTwoThree;65.22
233;preferenceItemOne;30.43
234;preferenceItemOneTwoThree;52.86
234;preferenceItemOne;24.29
235;preferenceItemOneTwoThree;48.65
235;preferenceItemOne;40.54
236;preferenceItemOneTwoThree;31.58
236;preferenceItemOne;5.26
237;preferenceItemOneTwoThree;56.52
237;preferenceItemOne;21.74
238;preferenceItemOneTwoThree;52.83
238;preferenceItemOne;18.87
239;preferenceItemOneTwoThree;45.1
239;preferenceItemOne;21.57
240;preferenceItemOneTwoThree;50
240;preferenceItemOne;20.83
241;preferenceItemOneTwoThree;35.71
241;preferenceItemOne;12.5
242;preferenceItemOneTwoThree;54.9
242;preferenceItemOne;23.53
243;preferenceItemOneTwoThree;50.85
243;preferenceItemOne;25.42
244;preferenceItemOneTwoThree;45.24
244;preferenceItemOne;26.19
245;preferenceItemOneTwoThree;58.18
245;preferenceItemOne;21.82
246;preferenceItemOneTwoThree;67.74
246;preferenceItemOne;35.48
247;preferenceItemOneTwoThree;62.16
247;preferenceItemOne;18.92
248;preferenceItemOneTwoThree;41.27
248;preferenceItemOne;12.7
249;preferenceItemOneTwoThree;44.62
249;preferenceItemOne;16.92
250;preferenceItemOneTwoThree;39.29
250;preferenceItemOne;14.29
251;preferenceItemOneTwoThree;49.18
251;preferenceItemOne;21.31
252;preferenceItemOneTwoThree;35.16
252;preferenceItemOne;12.09
253;preferenceItemOneTwoThree;46.03
253;preferenceItemOne;19.05
254;preferenceItemOneTwoThree;45
254;preferenceItemOne;10
255;preferenceItemOneTwoThree;53.33
255;preferenceItemOne;13.33
256;preferenceItemOneTwoThree;71.43
256;preferenceItemOne;14.29
257;preferenceItemOneTwoThree;27.78
257;preferenceItemOne;11.11
258;preferenceItemOneTwoThree;25.81
258;preferenceItemOne;9.68
259;preferenceItemOneTwoThree;34.62
259;preferenceItemOne;7.69
260;preferenceItemOneTwoThree;50
260;preferenceItemOne;40
261;preferenceItemOneTwoThree;28.57
261;preferenceItemOne;9.52
262;preferenceItemOneTwoThree;60
262;preferenceItemOne;10
263;preferenceItemOneTwoThree;41.67
263;preferenceItemOne;12.5
264;preferenceItemOneTwoThree;60
264;preferenceItemOne;50
265;preferenceItemOneTwoThree;33.33
265;preferenceItemOne;22.22
266;preferenceItemOneTwoThree;50
266;preferenceItemOne;18.75
267;preferenceItemOneTwoThree;80
267;preferenceItemOne;15
268;preferenceItemOneTwoThree;40
268;preferenceItemOne;26.67
269;preferenceItemOneTwoThree;55.56
269;preferenceItemOne;44.44
270;preferenceItemOneTwoThree;71.43
270;preferenceItemOne;28.57
271;preferenceItemOneTwoThree;62.5
271;preferenceItemOne;25
272;preferenceItemOneTwoThree;45.45
272;preferenceItemOne;18.18
273;preferenceItemOneTwoThree;40
273;preferenceItemOne;20
274;preferenceItemOneTwoThree;41.46
274;preferenceItemOne;9.76
275;preferenceItemOneTwoThree;43.48
275;preferenceItemOne;17.39
276;preferenceItemOneTwoThree;34.62
276;preferenceItemOne;19.23
277;preferenceItemOneTwoThree;42.86
277;preferenceItemOne;19.05
278;preferenceItemOneTwoThree;62.07
278;preferenceItemOne;31.03
279;preferenceItemOneTwoThree;34.48
279;preferenceItemOne;17.24
280;preferenceItemOneTwoThree;50
280;preferenceItemOne;18.75
281;preferenceItemOneTwoThree;43.59
281;preferenceItemOne;23.08
282;preferenceItemOneTwoThree;64.71
282;preferenceItemOne;29.41
283;preferenceItemOneTwoThree;46.15
283;preferenceItemOne;30.77
284;preferenceItemOneTwoThree;30
284;preferenceItemOne;10
285;preferenceItemOneTwoThree;36.92
285;preferenceItemOne;6.15
286;preferenceItemOneTwoThree;56.25
286;preferenceItemOne;31.25
287;preferenceItemOneTwoThree;52.63
287;preferenceItemOne;31.58
288;preferenceItemOneTwoThree;33.33
288;preferenceItemOne;14.29
289;preferenceItemOneTwoThree;25.71
289;preferenceItemOne;1.43
290;preferenceItemOneTwoThree;36.84
290;preferenceItemOne;13.16
291;preferenceItemOneTwoThree;32.43
291;preferenceItemOne;18.92
292;preferenceItemOneTwoThree;43.48
292;preferenceItemOne;13.04
293;preferenceItemOneTwoThree;66.67
293;preferenceItemOne;22.22
294;preferenceItemOneTwoThree;50
294;preferenceItemOne;16.67
295;preferenceItemOneTwoThree;22.73
295;preferenceItemOne;5.68
296;preferenceItemOneTwoThree;40
296;preferenceItemOne;14.29
297;preferenceItemOneTwoThree;33.33
297;preferenceItemOne;22.22
298;preferenceItemOneTwoThree;59.52
298;preferenceItemOne;33.33
299;preferenceItemOneTwoThree;58.62
299;preferenceItemOne;27.59
300;preferenceItemOneTwoThree;55.26
300;preferenceItemOne;23.68
301;preferenceItemOneTwoThree;70.83
301;preferenceItemOne;37.5
302;preferenceItemOneTwoThree;45.71
302;preferenceItemOne;22.86
303;preferenceItemOneTwoThree;45.83
303;preferenceItemOne;6.25
304;preferenceItemOneTwoThree;28.81
304;preferenceItemOne;6.78
305;preferenceItemOneTwoThree;44.44
305;preferenceItemOne;22.22
306;preferenceItemOneTwoThree;47.06
306;preferenceItemOne;35.29
307;preferenceItemOneTwoThree;66.67
307;preferenceItemOne;42.86
308;preferenceItemOneTwoThree;42.22
308;preferenceItemOne;17.78
309;preferenceItemOneTwoThree;50
309;preferenceItemOne;14.29
310;preferenceItemOneTwoThree;27.85
310;preferenceItemOne;18.99
311;preferenceItemOneTwoThree;57.58
311;preferenceItemOne;33.33
312;preferenceItemOneTwoThree;68.75
312;preferenceItemOne;43.75
313;preferenceItemOneTwoThree;50.67
313;preferenceItemOne;22.67
314;preferenceItemOneTwoThree;63.89
314;preferenceItemOne;33.33
315;preferenceItemOneTwoThree;67.8
315;preferenceItemOne;40.68
316;preferenceItemOneTwoThree;45.1
316;preferenceItemOne;23.53
317;preferenceItemOneTwoThree;55.81
317;preferenceItemOne;20.93
318;preferenceItemOneTwoThree;60
318;preferenceItemOne;42.22
319;preferenceItemOneTwoThree;58.33
319;preferenceItemOne;31.25
320;preferenceItemOneTwoThree;43.57
320;preferenceItemOne;7.86
321;preferenceItemOneTwoThree;55
321;preferenceItemOne;25
322;preferenceItemOneTwoThree;40.43
322;preferenceItemOne;23.4
323;preferenceItemOneTwoThree;42.86
323;preferenceItemOne;17.14
324;preferenceItemOneTwoThree;23.53
324;preferenceItemOne;2.94
325;preferenceItemOneTwoThree;43.48
325;preferenceItemOne;8.7
326;preferenceItemOneTwoThree;42.86
326;preferenceItemOne;26.19
327;preferenceItemOneTwoThree;59.09
327;preferenceItemOne;31.82
328;preferenceItemOneTwoThree;42.67
328;preferenceItemOne;10.67
329;preferenceItemOneTwoThree;57.69
329;preferenceItemOne;11.54
330;preferenceItemOneTwoThree;52
330;preferenceItemOne;8
331;preferenceItemOneTwoThree;35.71
331;preferenceItemOne;7.14
332;preferenceItemOneTwoThree;42.31
332;preferenceItemOne;19.23
333;preferenceItemOneTwoThree;54.55
333;preferenceItemOne;18.18
334;preferenceItemOneTwoThree;33.33
334;preferenceItemOne;22.22
335;preferenceItemOneTwoThree;23.21
335;preferenceItemOne;8.93
336;preferenceItemOneTwoThree;17.24
336;preferenceItemOne;2.3
337;preferenceItemOneTwoThree;37.93
337;preferenceItemOne;17.24
338;preferenceItemOneTwoThree;30.77
338;preferenceItemOne;9.89
339;preferenceItemOneTwoThree;27.27
339;preferenceItemOne;2.27
340;preferenceItemOneTwoThree;35
340;preferenceItemOne;10
341;preferenceItemOneTwoThree;44
341;preferenceItemOne;20
342;preferenceItemOneTwoThree;30.99
342;preferenceItemOne;8.45
343;preferenceItemOneTwoThree;44
343;preferenceItemOne;24
344;preferenceItemOneTwoThree;44.12
344;preferenceItemOne;14.71
345;preferenceItemOneTwoThree;48.44
345;preferenceItemOne;21.88
346;preferenceItemOneTwoThree;38.36
346;preferenceItemOne;13.7
347;preferenceItemOneTwoThree;57.38
347;preferenceItemOne;31.15
348;preferenceItemOneTwoThree;32
348;preferenceItemOne;13.33
349;preferenceItemOneTwoThree;50
349;preferenceItemOne;16.67
350;preferenceItemOneTwoThree;46.67
350;preferenceItemOne;15
351;preferenceItemOneTwoThree;64.71
351;preferenceItemOne;32.35
352;preferenceItemOneTwoThree;53.85
352;preferenceItemOne;28.85
353;preferenceItemOneTwoThree;61.9
353;preferenceItemOne;33.33
354;preferenceItemOneTwoThree;52.63
354;preferenceItemOne;18.42
355;preferenceItemOneTwoThree;78.26
355;preferenceItemOne;56.52
356;preferenceItemOneTwoThree;27.59
356;preferenceItemOne;17.24
357;preferenceItemOneTwoThree;70.37
357;preferenceItemOne;33.33
358;preferenceItemOneTwoThree;84.21
358;preferenceItemOne;57.89
359;preferenceItemOneTwoThree;45.16
359;preferenceItemOne;16.13
360;preferenceItemOneTwoThree;54.55
360;preferenceItemOne;27.27
361;preferenceItemOneTwoThree;55.56
361;preferenceItemOne;22.22
362;preferenceItemOneTwoThree;43.75
362;preferenceItemOne;18.75
363;preferenceItemOneTwoThree;52.17
363;preferenceItemOne;30.43
364;preferenceItemOneTwoThree;45.45
364;preferenceItemOne;18.18
365;preferenceItemOneTwoThree;31.82
365;preferenceItemOne;18.18
366;preferenceItemOneTwoThree;29.17
366;preferenceItemOne;12.5
367;preferenceItemOneTwoThree;55.56
367;preferenceItemOne;25.93
368;preferenceItemOneTwoThree;51.85
368;preferenceItemOne;25.93
369;preferenceItemOneTwoThree;72
369;preferenceItemOne;36
370;preferenceItemOneTwoThree;58.82
370;preferenceItemOne;52.94
371;preferenceItemOneTwoThree;40.62
371;preferenceItemOne;12.5
372;preferenceItemOneTwoThree;77.78
372;preferenceItemOne;66.67
373;preferenceItemOneTwoThree;68
373;preferenceItemOne;32
374;preferenceItemOneTwoThree;70.83
374;preferenceItemOne;54.17
375;preferenceItemOneTwoThree;58.82
375;preferenceItemOne;35.29
376;preferenceItemOneTwoThree;75
376;preferenceItemOne;50
377;preferenceItemOneTwoThree;88.89
377;preferenceItemOne;55.56
378;preferenceItemOneTwoThree;27.59
378;preferenceItemOne;3.45
379;preferenceItemOneTwoThree;51.43
379;preferenceItemOne;8.57
380;preferenceItemOneTwoThree;31.25
380;preferenceItemOne;18.75
381;preferenceItemOneTwoThree;29.27
381;preferenceItemOne;7.32
382;preferenceItemOneTwoThree;48.28
382;preferenceItemOne;20.69
383;preferenceItemOneTwoThree;42.31
383;preferenceItemOne;19.23
384;preferenceItemOneTwoThree;39.74
384;preferenceItemOne;11.54
385;preferenceItemOneTwoThree;55.32
385;preferenceItemOne;21.28
386;preferenceItemOneTwoThree;50
386;preferenceItemOne;25
387;preferenceItemOneTwoThree;45
387;preferenceItemOne;10
388;preferenceItemOneTwoThree;34.78
388;preferenceItemOne;15.22
389;preferenceItemOneTwoThree;53.7
389;preferenceItemOne;20.37
390;preferenceItemOneTwoThree;59.38
390;preferenceItemOne;21.88
391;preferenceItemOneTwoThree;44.44
391;preferenceItemOne;0
392;preferenceItemOneTwoThree;50
392;preferenceItemOne;16.67
393;preferenceItemOneTwoThree;71.43
393;preferenceItemOne;0
394;preferenceItemOneTwoThree;62.5
394;preferenceItemOne;37.5
395;preferenceItemOneTwoThree;28.57
395;preferenceItemOne;14.29
396;preferenceItemOneTwoThree;36.36
396;preferenceItemOne;9.09
397;preferenceItemOneTwoThree;40
397;preferenceItemOne;20
398;preferenceItemOneTwoThree;50
398;preferenceItemOne;37.5
399;preferenceItemOneTwoThree;89.47
399;preferenceItemOne;73.68
400;preferenceItemOneTwoThree;37.5
400;preferenceItemOne;37.5
401;preferenceItemOneTwoThree;28.57
401;preferenceItemOne;0
402;preferenceItemOneTwoThree;40
402;preferenceItemOne;20
403;preferenceItemOneTwoThree;50
403;preferenceItemOne;50
404;preferenceItemOneTwoThree;54.55
404;preferenceItemOne;18.18
405;preferenceItemOneTwoThree;57.14
